FECHA,TIPO_INGRESO,LINEA_1,LINEA_2,LINEA_3,LINEA_4,LINEA_5,LINEA_6,LINEA_7,LINEA_8,LINEA_9,LINEA_A,LINEA_B,LINEA_12
13/08/2012,Boletos,1664745,1839300,1607376,213075,527970,410685,604560,956874,657300,372690,1128330,0
14/08/2012,Boletos,1550895,1734225,1454418,191400,467310,359355,541575,901554,605730,321765,954690,0
15/08/2012,Boletos,1580970,1781025,1476522,192240,469170,359055,558840,891300,626430,333435,1025370,0
16/08/2012,Boletos,1559133,1743090,1439949,191760,466890,345735,549345,894030,608790,329715,1000065,0
17/08/2012,Boletos,1589913,1790895,1461564,199635,472500,357405,555330,885675,616110,334830,1016205,0
18/08/2012,Boletos,1579167,1748250,1224822,181290,418800,262845,422310,819570,521025,261525,987750,0
19/08/2012,Boletos,1080537,1052046,794880,112725,295980,180345,237465,536370,310215,163950,697530,0
20/08/2012,Boletos,1609170,1768944,1573902,209490,526980,402930,608820,927900,649845,386370,1109580,0
21/08/2012,Boletos,1398165,1589460,1370028,184605,442350,332685,532185,813855,579525,316020,898290,0
22/08/2012,Boletos,1386153,1580019,1349559,179820,427950,325935,518625,813120,581490,302955,926850,0
23/08/2012,Boletos,1337967,1523316,1288911,177630,421530,318870,499410,786405,570330,290280,879630,0
24/08/2012,Boletos,1447440,1620885,1367634,185940,448050,341910,530955,830625,587280,311325,950070,0
25/08/2012,Boletos,1521690,1695135,1213182,175110,400410,265485,421320,811710,523710,276480,959100,0
26/08/2012,Boletos,1026660,1019550,766356,107070,281100,169650,231255,503880,317895,298125,656310,0
27/08/2012,Boletos,1597380,1786725,1597581,209625,523830,405705,622965,929424,668835,588975,1105785,0
28/08/2012,Boletos,1417800,1656495,1429182,184005,441480,345090,541680,842376,606660,520590,912435,0
29/08/2012,Boletos,1397910,1582764,1351494,180120,432900,331680,518190,825300,584295,521220,930165,0
30/08/2012,Boletos,1416450,1612041,1387584,182265,443565,340860,547170,856155,607155,510255,932415,0
31/08/2012,Boletos,1568580,1779750,1486050,198270,478815,369270,587085,934785,649110,550740,1025145,0
01/09/2012,Boletos,1616100,1775025,1295289,193335,433140,281535,455622,870015,572070,483615,1034220,0
02/09/2012,Boletos,1124760,1128405,851568,116070,297120,179880,279378,576543,366330,337905,716775,0
03/09/2012,Boletos,1708755,1859940,1668438,221040,534180,427515,653370,991212,706155,642585,1168770,0
04/09/2012,Boletos,1429785,1651680,1411056,187035,448095,342555,542130,848124,602235,532470,923310,0
05/09/2012,Boletos,1408710,1624065,1381935,183405,434730,331260,530745,832041,588060,542385,948495,0
06/09/2012,Boletos,1354650,1591818,1348836,176010,414585,324855,518700,810015,566490,473850,894930,0
07/09/2012,Boletos,1434915,1697892,1405041,184860,454830,344970,550170,833910,599295,512370,935745,0
08/09/2012,Boletos,1510896,1693245,1231242,172710,401520,272670,432270,817158,538635,464700,980340,0
09/09/2012,Boletos,1067769,1093713,803328,106785,284010,183315,247860,541902,322890,324570,682260,0
10/09/2012,Boletos,1619775,1819797,1626888,216330,527370,422550,630465,953070,671715,628290,1121505,0
11/09/2012,Boletos,1414875,1644081,1407090,183300,443880,346380,543015,836961,604170,541545,919575,0
12/09/2012,Boletos,1388895,1582764,1364223,178560,431310,335790,529035,816900,583335,541710,927210,0
13/09/2012,Boletos,1411275,1635141,1373634,187755,431505,342255,526125,857094,601440,512520,935505,0
14/09/2012,Boletos,1581135,1783074,1444413,198660,485700,362010,583260,934650,636750,580215,1026420,0
15/09/2012,Boletos,1397541,1360290,1084749,161595,399450,241095,393120,750465,500910,456810,877755,0
16/09/2012,Boletos,890259,848010,667470,77610,238305,144150,198855,443562,264060,273645,538350,0
17/09/2012,Boletos,1645965,1728630,1526835,195180,480420,372945,576960,904635,638910,583860,1078455,0
18/09/2012,Boletos,1470315,1684545,1472634,192210,483720,366195,576150,874938,615225,583530,984360,0
19/09/2012,Boletos,1397205,1599870,1382070,178575,438210,335220,531540,827145,585465,557595,950655,0
20/09/2012,Boletos,1362360,1572861,1329666,177300,428430,323040,502395,831825,576600,528270,925470,0
21/09/2012,Boletos,1457790,1679079,1402467,186810,451830,349275,535500,862995,590850,558615,977355,0
22/09/2012,Boletos,1489755,1630740,1207890,168930,407640,263970,427410,815619,546900,500775,972060,0
23/09/2012,Boletos,1020690,1015650,772605,107865,279135,174900,240150,514878,341130,332955,663885,0
24/09/2012,Boletos,1617480,1777068,1577853,229635,520695,396570,600315,925959,645465,653805,1121820,0
25/09/2012,Boletos,1387095,1561092,1379631,181410,430275,337200,524175,817857,583035,540375,902445,0
